Energy_keV,InputSpectrum,DetectedSpectrum,GaussianFit
6.400000000000003908e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.185751877113537140e-28
6.500000000000003553e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.692412664267815563e-28
6.600000000000004086e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.472776290850954138e-27
6.700000000000004619e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.785489831839552660e-27
6.800000000000004263e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.666122074746210727e-27
6.900000000000003908e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.452038918964033168e-26
7.000000000000004441e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.179414595918572587e-26
7.100000000000004974e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.547077968320196292e-25
7.200000000000004619e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.847883904856672555e-25
7.300000000000004263e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.507724986574184129e-25
7.400000000000004796e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.333867271155019201e-24
7.500000000000005329e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.691419377315378528e-24
7.600000000000004974e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378827429538070702e-23
7.700000000000004619e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.318517654863576592e-23
7.800000000000005151e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.934567194931054051e-23
7.900000000000005684e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.884721757291444367e-22
8.000000000000005329e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.447501852426288578e-22
8.100000000000004974e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.042629294477758849e-21
8.200000000000006395e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.428223177863340957e-21
8.300000000000006040e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.618134979994818480e-21
8.400000000000005684e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.291340078339411047e-20
8.500000000000005329e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.948723037286548034e-20
8.600000000000004974e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.689169906733115686e-20
8.700000000000006395e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.507493206327673481e-19
8.800000000000006040e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.375074718175772548e-19
8.900000000000005684e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.506825347615391948e-19
9.000000000000007105e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.658723981256897078e-18
9.100000000000006750e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.641135385119409172e-18
9.200000000000006395e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.940437334819331074e-18
9.300000000000006040e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.720271165696920531e-17
9.400000000000005684e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.702493366491622474e-17
9.500000000000007105e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.916560954944648367e-17
9.600000000000006750e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.681603965460993428e-16
9.700000000000006395e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.548589616365307022e-16
9.800000000000007816e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.439311155694384925e-16
9.900000000000007461e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.549367929000759503e-15
1.000000000000000711e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.205688300172718080e-15
1.010000000000000675e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.589203403239637997e-15
1.020000000000000639e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.345517739052056372e-14
1.030000000000000782e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.729548612344914879e-14
1.040000000000000746e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.500942820865577875e-14
1.050000000000000711e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.101357516102367950e-13
1.060000000000000853e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.190606646254228189e-13
1.070000000000000817e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.328579256076384760e-13
1.080000000000000782e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.497109961696264695e-13
1.090000000000000746e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.657074350595000762e-12
1.100000000000000711e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.210388886954175280e-12
1.110000000000000853e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.178999833990124564e-12
1.120000000000000817e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.181472494855913821e-11
1.130000000000000782e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.244263980943129773e-11
1.140000000000000924e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.235153493876564995e-11
