Energy_keV,RawThresholdEnergy_keV,Differential_counts,Differential_error,Differential_SEM,DifferentialNorm_ROI1,DifferentialNorm_ROI2,DifferentialNorm_ROI3,DifferentialNorm_ROI4,DifferentialNorm_ROI5
9.13963963963964,8.5,0.00630974474367371,0.00106000419685954,0.000474048288122599,0.00766933088578628,0.00575325984412996,0.00572466176888215,0.00520821417468625,0.00719325704488393
9.63963963963964,9,0.00653852934566312,0.00137185767343642,0.000613513402651707,0.00722353735985321,0.00624783832195934,0.00444952406073836,0.00815213368557225,0.00661961330019009
10.1396396396396,9.5,0.00755123765740873,0.000778725646982307,0.000348256696494989,0.00796708731631704,0.00664484689599841,0.0085440955404492,0.00769961120075557,0.00690054733351646
10.6396396396396,10,0.0291283172085031,0.000882407616758387,0.000394624682987067,0.0291296630002801,0.0297857364912778,0.0299287268675215,0.0276997592378515,0.0290977004455916
11.1396396396396,10.5,0.0224807787289543,0.00214037045701306,0.000957202767782697,0.0232384594990697,0.0244984570497283,0.0188881875818409,0.0233578985192254,0.0224208909949024
11.6396396396396,11,0.0202962222279041,0.00190731490822221,0.000852977157856728,0.0232956556495665,0.0204190257275015,0.0194803359634594,0.0201952878446743,0.0180908059543221
12.1396396396396,11.5,0.0433169999071411,0.00260479369403606,0.00116489915344548,0.0477335520693574,0.0431040283585248,0.0415900126100685,0.0412014152346322,0.0429559912631202
12.6396396396396,12,0.0536913722634997,0.00198516354584462,0.000887792126992616,0.0556232563585292,0.0548662484843028,0.0521578425342874,0.0547838187379965,0.0510256952023862
13.1396396396396,12.5,0.0548800428500099,0.0046938686679664,0.00209916188380585,0.0625103457742807,0.0555071818178141,0.0502013977393399,0.053872044809483,0.0523092441091339
13.6396396396396,13,0.0763309544220708,0.00309980767708831,0.00138627613662903,0.0813598418425507,0.0762542442908145,0.0740791083321995,0.0764678887353187,0.0734936889094634
14.1396396396396,13.5,0.0896603490714709,0.00368797410473451,0.00164931215948906,0.0953527118377189,0.0914330932889402,0.0868506722902824,0.0870794568922719,0.0875858110481435
14.6396396396396,14,0.100259132206546,0.00146815518779389,0.000656578960285222,0.102394567307758,0.100458309389455,0.0987272847170539,0.100680365032561,0.0990351345859066
